timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
161 53 72 0.34415013525938615 0.055849864740613875
162 17 27 0.35419834439664766 0.045801655603352365
162 20 27 0.31037920473025005 0.08962079526974998
162 44 72 0.3923739415600389 0.007626058439961114
162 56 63 0.3546816026151597 0.045318397384840337
163 21 24 0.3987779220748685 0.001222077925131515
163 24 75 0.39135264643168816 0.008647353568311866
163 54 74 0.37268224430552555 0.027317755694474477
163 56 63 0.3179617055635421 0.08203829443645794
164 13 31 0.3346747072948574 0.06532529270514265
164 54 58 0.23041970786168092 0.1695802921383191
165 13 31 0.22668601648296274 0.17331398351703728
165 50 59 0.3710363275319124 0.02896367246808762
165 56 63 0.25913583507844723 0.1408641649215528
165 65 75 0.2465648743750456 0.15343512562495443
166 10 14 0.38922263203203733 0.010777367967962692
166 13 31 0.22668601648296274 0.17331398351703728
166 17 27 0.33095721103537895 0.06904278896462107
166 50 59 0.35676250892287326 0.043237491077126766
166 65 75 0.3471578404851731 0.0528421595148269
167 10 14 0.37205018126050615 0.02794981873949387
167 41 55 0.2901921220866168 0.1098078779133832
167 53 71 0.3374105070113395 0.06258949298866051
167 54 74 0.2958051410727952 0.10419485892720481
168 10 14 0.29840090620818266 0.10159909379181736
168 17 27 0.36540809739407404 0.034591902605925984
168 48 54 0.398525981532536 0.0014740184674640333
169 5 64 0.38859419242288107 0.011405807577118954
169 10 14 0.29840090620818266 0.10159909379181736
169 16 75 0.31568614390137034 0.08431385609862968
169 48 54 0.398525981532536 0.0014740184674640333
169 60 77 0.3051536710081557 0.09484632899184431
169 65 75 0.3502891389619967 0.04971086103800332
170 10 14 0.2639855960730437 0.1360144039269563
170 65 75 0.3502891389619967 0.04971086103800332
171 10 14 0.26883736255514046 0.13116263744485956
172 65 85 0.2964142759367443 0.10358572406325572
173 10 14 0.25305959560102553 0.1469404043989745
173 22 28 0.39541846153667587 0.004581538463324153
173 70 71 0.3906414769298695 0.00935852307013052
174 53 70 0.38749839450058204 0.012501605499417978
175 10 14 0.36497155457713304 0.03502844542286698
175 22 28 0.39202072489076056 0.007979275109239459
175 53 70 0.38749839450058204 0.012501605499417978
176 22 28 0.26075789926323234 0.13924210073676768
176 35 79 0.3951699438774978 0.004830056122502202
176 37 43 0.3426942797812839 0.057305720218716105
176 57 60 0.35552321135820963 0.04447678864179039
